mistralai/mistral-nemo         23892  1675  1248  0.00027    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [Io Net]
mistralai/mistral-nemo         35095  1677  1214  0.00007    ✓      ✗     ✓      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✓ [DeepInfra]
gryphe/mythomax-l2-13b         19015  2083  1334  0.00153    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ok | ✗ [Mancer 2]
gryphe/mythomax-l2-13b         32523  2083  1645  0.00171    ✓      ✗     ✗      ✗      ✓       | ✗            ✗        ✗      | não   | ok | ✗ [Mancer 2]
inclusionai/ling-3.0-flash     17922  1864  1890  0.00016    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Novita]
inclusionai/ling-3.0-flash     14030  1864  1563  0.00011    ✓      ✓     ✓      ✗      ✓       | ✓            ✓        ✓      | não   | ok | ✓ [Novita]
meta-llama/llama-3.1-8b-instruct  4256  1752  3368  0.00036    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [Groq]
meta-llama/llama-3.1-8b-instruct 31453  1727  1099  0.00008    ✗      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ** | ✗ [DeepInfra]
mistralai/mistral-small-24b-instruct-2501 41119  1835   948  0.00017    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
mistralai/mistral-small-24b-instruct-2501 41957  1835  1360  0.00020    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✗ [DeepInfra]
google/gemma-3-4b-it           ERRO {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or 
google/gemma-3-4b-it           ERRO {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or 
mistralai/ministral-3b-2512     6760  1675  1259  0.00029    ✓      ✗     ✗      ✗      ✓       | ✓            ✗        ✗      | não   | ** | ✓ [Mistral]
mistralai/ministral-3b-2512     7914  1675  1399  0.00016    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ** | ✓ [Mistral]
rekaai/reka-edge                5692  1724   822  0.00025    ✗      ✗     ✗      ✗      ✓       | ✗            ✗        ✗      | não   | ** | ✗ [Reka]
rekaai/reka-edge                6838  1724   999  0.00027    ✓      ✗     ✗      ✗      ✓       | ✗            ✓        ✗      | não   | ** | ✓ [Reka]
ibm-granite/granite-4.0-h-micro 38685  1749  1426  0.00019    ✗      ✗     ✗      ✗      ✓       | ✗            ✗        ✗      | não   | ok | ✓ [Cloudflare]
ibm-granite/granite-4.0-h-micro 23659  1749   858  0.00013    ✗      ✗     ✓      ✗      ✗       | ✗            ✗        ✗      | não   | ok | ✓ [Cloudflare]
upstage/solar-pro4             47911  1799  2104  0.00031    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Upstage]
upstage/solar-pro4             50304  1799  2364  0.00034    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Upstage]
poolside/laguna-xs-2.1          8063  1955  1472  0.00029    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Poolside]
poolside/laguna-xs-2.1          6821  1955  1240  0.00021    ✓      ✗     ✓      ✗      ✓       | ✗            ✓        ✗      | não   | ok | ✓ [Poolside]
openai/gpt-oss-20b             16036  1571  1495  0.00026    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
openai/gpt-oss-20b             16507  1584   799  0.00011    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Darkbloom]
qwen/qwen3.7-flash             12822  1590  1675  0.00027    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
qwen/qwen3.7-flash             11657  1590  1652  0.00026    ✓      ✗     ✓      ✓      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Alibaba]
amazon/nova-micro-v1           11686  1652  1026  0.00020    ✓      ✗     ✗      ✗      ✗       | ✓            ✓        ✗      | não   | ok | ✓ [Amazon Bedrock]
amazon/nova-micro-v1            5592  1652  1525  0.00027    ✓      ✗     ✗      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [Amazon Bedrock]
microsoft/phi-4                ERRO {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"microsoft/phi-4 is temporarily rate-limited upstream. Please retry shortly, or add y
microsoft/phi-4                86112  1726  1815  0.00037    ✓      ✗     ✓      ✗      ✓       | ✓            ✓        ✗      | não   | ok | ✓ [DeepInfra]
